index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
3052,"$8,150",2021,,1 year,,"Journalism, news and information; Investigative journalism",Adults,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Project Sycamore A NFP Corporation,"Austin, TX United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3053,"$8,091",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,American Online Giving Foundation Inc,"Newark, DE United States",American Journalism Project Inc,"Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3054,"$8,011",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Bright Funds Foundation,"San Jose, CA United States","PRO Publica, Inc.","New York City, NY United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3055,"$8,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Children and youth,Not Specified,Cash grants,ALASKA HUMANITIES FORUM,"Anchorage, AK United States",See Stories,"Anchorage, AK United States",COVID RELIEF,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3056,"$8,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Charles Koch Institute,"Arlington, VA United States",Montclair Local Nonprofit News Inc,"Montclair, NJ United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3057,"$8,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Students,Not Specified,Cash grants,Charles Koch Institute,"Arlington, VA United States",The 74 Media Inc,"New York City, NY United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3058,"$8,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Charles Koch Institute,"Arlington, VA United States",CONNECTICUT NEWS PROJECT INC,"Hartford, CT United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3059,"$8,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Students,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",EDSOURCE INC,"Oakland, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3060,"$8,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,National Institute for Health Care Management Foundation,"Washington, DC United States",Connecticut Health I-Team Inc,"Nantucket, MA United States",EXEMPT PURPOSE RELATED JOURNALISM GRANT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3061,"$8,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",People of African descent,Not Specified,Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",National Association of Black Journalists,"College Park, MD United States","PUBLIC, SOCIETAL BENEFIT",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3062,"$8,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adolescents,Annual campaigns,Cash grants,Nicholas H Noyes Jr Memorial Foundation,"Carmel, IN United States","Starfish, Inc.","Indianapolis, IN United States",ROUTINE ANNUAL SUPPORTH,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3063,"$8,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Systems reform; Ethics and accountability,Cash grants,Organized Crime and Corruption Reporting Project (OCCRP),"Washington, DC United States",Multiple Sub-Saharan Africa Recipients,,SUPPORT TO INVESTIGATIVE JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3064,"$8,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; Program support; Publications; Online media,Cash grants,Patrick and Anna M Cudahy Fund,"Oak Park, IL United States",Wuwm Milwaukee Public Radio,"Milwaukee, WI United States",ENVIRONMENTAL REPORTING INITIATIVE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3065,"$8,000",2021,"Social, Racial and Economic Justice",1 year,Leadership Development/Wellness,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Samuel S Fels Fund,"Philadelphia, PA United States",Philadelphia Association of Black Journalist,"Philadelphia, PA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3066,"$8,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Bessemer Giving Fund C/o Bessemer Trust Company Trustee,"Woodbridge, NJ United States",Blood Origins Inc,"Collierville, TN United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3067,"$8,000",2021,Creativity and Free Expression,1 year,,"Journalism, news and information; Investigative journalism",Adults; Parents; Academics; Activists,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Markup News Inc,"New York City, NY United States",Core support to participate in training programs to strengthen financial resiliency,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3068,"$7,960",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Economically disadvantaged people; Incarcerated people,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The Massachusetts Institute for A New Commonwealth Inc. (MassINC),"Boston, MA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3069,"$7,884",2021,,1 year,,"Journalism, news and information; Investigative journalism",Artists and performers,"Awards, prizes and competitions; Publications",Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Type Media Center,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3070,"$7,800",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Students,Research; Program support,Cash grants,San Joaquin a Plus Inc,"Stockton, CA United States",Results in Education Foundation,"Rochester, MI United States",SAN JOAQUIN COUNTY LANDSCAPE ANALYSIS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3071,"$7,800",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Constituency journalism",Not Specified,Not Specified,Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",Growing Community Media NFP,"Oak Park, IL United States","PUBLIC, SOCIETAL BENEFIT",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
