index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
0,"$16,966,810",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,General support,Cash grants,NPR FOUNDATION,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1,"$14,984,737",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,The Pew Charitable Trusts,"Philadelphia, PA United States","PRO Publica, Inc.","New York City, NY United States",DAF GRANT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2,"$7,560,000",2021,"Natural Resources and Climate Change; Gender, Race and Ethnic Justice; Civic Engagement and Government; Beyond Current Program Structure; Future of Work(ers)",3 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Women and girls,General support,Cash grants,The Ford Foundation,"New York City, NY United States","Rockefeller Philanthropy Advisors, Inc.","New York City, NY United States","Core support for the creation of the International Resource for Impact and Storytelling (IRIS), an external donor collaborative supporting a global-south moving-image storytelling network, narrative analysis and shared learning space for donors",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3,"$7,354,586",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",Academics,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
4,"$6,965,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Children and youth; Adults,Program support,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",PUBINT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
5,"$6,000,000",2021,Beyond Current Program Structure,3 years,,"Journalism, news and information; Investigative journalism",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",BOREALIS PHILANTHROPY,"Minneapolis, MN United States","Core support to the Racial Equity in Journalism Fund, a donor collaborative to assist and strengthen people of color-led and -serving media institutions, particularly around civic news coverage and core support for fund strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
6,"$5,000,000",2021,Equitable Recovery,3 years,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",People of African descent; Researchers; Students; Teachers,Fellowships; Leadership and professional development; Program support,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",The Howard University,"Washington, DC United States",In support of the Center for Journalism and Democracy.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
7,"$5,000,000",2021,Civic and Community,5 years and 3 months,,"Journalism, news and information; Advocacy journalism",Adults,Program support; Public engagement and education,Cash grants,The Annenberg Foundation,"Conshohocken, PA United States",National Press Club Journalism Institute,"Washington, DC United States","To support the Fallen Journalists Memorial Foundation in establishing the Fallen Journalists Memorial in Washington, D.C.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
8,"$4,650,000",2021,,1 year,,"Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Open Society Foundation,"New York City, NY United States","Media Development Investment Fund, Inc.","New York City, NY United States",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
9,"$4,627,240",2021,Global Policy and Advocacy,1 year,Stichting European Journalism Centre,"Journalism, news and information; Investigative journalism",Not Specified,"Policy, advocacy and systems reform; Outreach",Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Stichting European Journalism Centre,"Maastricht, Netherlands","to support a challenge fund to incentivize solutions journalism approaches in newsrooms in the UK, France and Germany.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
10,"$4,501,622",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,"Public engagement and education; Policy, advocacy and systems reform; Program support; Research and evaluation",Cash grants,The Conversation US,"Waltham, MA United States",Associated Press,"New York City, NY United States","GLOBAL RELIGION JOUARNALISM INITIATIVE TO EDUCATE THE PUBLIC THROUGH KNOWLEDGE BASED JOURNALISM THAT IS RESPONSIBLE, ETHICAL AND SUPPORTED BY EVIDENCE.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
11,"$3,500,000",2021,Environmental Justice,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,"Data and measurement systems; Network-building and collaboration; Policy, advocacy and systems reform; Program support; Capacity-building and technical assistance; General support",Cash grants,Bezos Earth Fund,"Seattle, WA United States",Shift,"New York City, NY United States","This project will catalyze a community of practice connecting environmental justice leaders and tech/data talent from across the country to support the Environmental Justice Data Collaborative. The project will involve a series of ‘co-do-athon’ workshops with EJ leaders and tech talent surfacing relevant open data, and together developing six demonstration prototype data tools (code will be open sourced) all working towards advancing the needs of underserved communities who have and/or are experiencing environmental injustices. The teams will also co-develop scrolling infographics/stories that communicate the power of the information visualized.",https://www.bezosearthfund.org/grants/co-developing-methods-prototypes-environmental-justice-data-collaborative
12,"$3,390,260",2021,,1 year,,"Media Content and Platforms; Television; Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Adults; Children and youth; At-risk youth; Economically disadvantaged people,Capital campaigns; Program support,Cash grants,PBS39 Foundation Corporation,"Bethlehem, PA United States",LV PUBLIC TELECOMMUNICATIONS CORP. WLVT-TV CHANNEL 39,"Bethlehem, PA United States",WORKING CAPITAL ASSITANCE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
13,"$3,200,000",2021,Environmental Justice,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,"Policy, advocacy and systems reform; Capacity-building and technical assistance; Research and evaluation; General support; Program support",Cash grants,Bezos Earth Fund,"Seattle, WA United States",Georgetown University Mccourt School of Public Policy Massive Data Institute (mdi),"Washington, DC United States",This project will partner with data scientists and technologists at Historically Black Colleges and Universities (HBCUs) and Tribal Colleges and Universities (TCUs) to develop a governance structure and prototype computing infrastructure for an Environmental Justice Data Collaborative that will empower community groups and researchers engaged in data-driven efforts to reduce environmental injustices.,https://www.bezosearthfund.org/grants/engaging-researchers-in-data-driven-efforts-to-reduce-environmental-injustices
14,"$3,102,087",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Telecommunications Infrastructure, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",Georgia Public Telecommunications Commission,"Atlanta, GA United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
15,"$3,000,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,America First Works Inc,"Washington, DC United States",America First Policy Institute,"Arlington, VA United States",ISSUE SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
16,"$3,000,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Sandler Foundation,"San Francisco, CA United States","PRO Publica, Inc.","New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
17,"$3,000,000",2021,Gender Equity & Governance,3 years,for advocacy and programming to improve gender data use and resourcing,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support; Program support,Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States","United Nations Foundation, Inc.","Washington, DC United States","Data2X, an alliance housed at the U.N. Foundation, seeks to improve the quality, availability, and use of gender data in order to make a practical difference in the lives of women and girls worldwide. Data2X works with partners to improve the production and use of gender data through convening, research, advocacy, and communications. As an anchor grantee in the data substrategy of our women?s economic empowerment work, Data2X has a track record of raising awareness about the importance of gender data, identifying gender data gaps, and building partnerships to develop new methods. During this grant period, Data2X aims to enable the availability, usability, demand for, funding of, and use of gender data by governments, multilaterals, and private sector actors. Its goals include laying the groundwork for larger-scale change in key gender data production areas such as women?s economic participation, financial inclusion, and big data; deepening the field?s understanding of the current state of gender data and actions that need to be taken to drive data use; mobilizing new actors or channels for funding; and improving its own capacity to tell the gender data story and mobilize new investments in gender data. (Strategy: International Women?s Economic Empowerment)HEALTH",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
18,"$2,861,043",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
19,"$2,735,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Northlight Foundation Inc,"New York City, NY United States",Amalgamated Charitable Foundation Inc,"Washington, DC United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
20,"$2,733,530",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,Not Specified,Cash grants,NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,"Alpharetta, GA United States",Global Media Outreach,"Plano, TX United States",EVANGELISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
21,"$2,694,740",2021,Global Policy and Advocacy,1 year,Bhekisisa Development Media NPC,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; Systems reform; Program support,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Bhekisisa Development Media,"Rosebank, South Africa","to support accurate, in-depth, solutions-oriented coverage of health policy implementation, and resourcing in order to raise awareness among decision makers, and improve accountability",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
22,"$2,600,000",2021,,2 years,"Strengthening and expanding National Public Radio health coverage through new content and coverage areas, new platforms, and new audiences, 2021-2024","Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Children and youth; Adults,Recordings and broadcasts; Public engagement and education; Program support; Online media,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States","National Public Radio, Inc.","Washington, DC United States",To continue long-standing support for the National Public Radio (NPR) Health Unit to expand in-depth news coverage of important health and healthcare issues and to allow NPR to continue to develop and implement a multimedia expansion of its Science Desk.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
23,"$2,595,720",2021,Data Science,1 year,2021 DAT 006,"Media applications and tools; Media applications and tools, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,Data and measurement systems; Information technology; Program support,Cash grants,The Rockefeller Foundation,"New York City, NY United States",New Venture Fund,"Washington, DC United States","Grant for use by its project data.org, in support of building the field of data science for social impact and improving gender diversity of the data science work force through the Capacity Accelerator Network",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
24,"$2,500,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Outreach; Program support,Cash grants,Comcast Corporation Contributions Program,"Philadelphia, PA United States",Echoing Green Inc,"New York City, NY United States","Echoing Green announced today a $2.5 Million commitment from Comcast NBCUniversal to the organizations $50M racial Equity Philanthropic Fund. With this investment from Comcast, Echoing Green will launch programming that enables leaders working to dismantle structural racism and build inclusive economies.",https://echoinggreen.org/news/echoing-green-announces-2-5-million-commitment-from-comcast-nbcuniversal-to-advance-racial-equity/
25,"$2,500,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Adults; Parents; Academics; Activists,General support,Cash grants,Craig Newmark Foundation,"San Francisco, CA United States",Markup News Inc,"New York City, NY United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
26,"$2,500,000",2021,,5 years,,"Journalism, news and information; Investigative journalism",Not Specified,Equal access; Program support,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Howard University Itf Washington Me,"WASHINGTON, DC United States","to support the Center for Journalism and Democracy, housed at Howard University, to train and support the next generation of Black investigative journalists in order to broaden the field of journalism, build a more inclusive and equitable sector, and strengthen American democracy as a whole",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
27,"$2,500,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Adolescents,General support,Cash grants,MacKenzie Scott and Dan Jewett,"Seattle, WA United States",Youth Radio,"Oakland, CA United States","Mackenzie Scott and Dan Jewett made an unrestricted grant of $2.5 Million to YR Media, a national multimedia platform and education center serving young people ages 14 to 29. Funds will be used to enhance existing resources and leveraged to increase and diversify YR Media’s content output. This grant is part of the $2,739,000,000 in gifts to 286 high-impact organizations in categories and communities that have been historically underfunded and overlooked, and social sector infrastructure organizations that support them.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
28,"$2,500,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adolescents; Children and youth; Adults,Not Specified,Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",Youth Radio,"Oakland, CA United States",HUMAN SERVICES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
29,"$2,500,000",2021,,1 year,,"Telecommunications infrastructure; Telecommunications; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Technical assistance,Cash grants,The Leona M and Harry B Helmsley Charitable Trust,"New York City, NY United States",Geoscience Australia,"Symonston, Australia",DIGITAL EARTH AFRICA: PHASE 2 (OPERATIONAL BUILD),http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
30,"$2,434,447",2021,Global Policy and Advocacy,1 year,Telegraph Media Group Limited,"Journalism, news and information; Investigative journalism",Not Specified,Research and evaluation; Public engagement and education,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Telegraph Media Group Limited,"London, United Kingdom","to support the production of independent journalism to raise awareness in the UK around global health security and engage audiences in solutions, greater research, and cooperation",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
31,"$2,400,000",2021,Science / Projects,2 years and 4 months,Annual Reviews Open Access and Knowable Magazine,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Publications; Program support,Cash grants,GORDON E AND BETTY I MOORE FOUNDATION,"Palo Alto, CA United States",Annual Reviews,"San Mateo, CA United States","To support the development of ""S2O"", a pilot program for open access Annual Reviews journals and Knowable Magazine, a digital magazine that communicates topical scientific knowledge to the public.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
32,"$2,400,000",2021,Outreach & Education,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,General support; Presentations and productions,Cash grants,Simons Foundation,"New York City, NY United States",World Science Foundation,"New York City, NY United States",World Science Festival Outright and Matching Grant,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
33,"$2,266,113",2021,,2 years,"Building a team of health journalists in the South to cover the issues of health, race, and poverty that other newsrooms can't or won't","Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,"Policy, advocacy and systems reform; Research",Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",KFF (THE HENRY J KAISER FAMILY FOUNDATION),"San Francisco, CA United States","To support, with the Kaiser Family Foundation, the launch of a major initiative on health and social equity reporting in the American South that will bring stories of health, race, and poverty to prominence as the region continues to reckon with the impact of the pandemic and many existing health challenges.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
34,"$2,250,000",2021,Technology and Society,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media justice; Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Markup News Inc,"New York City, NY United States","General support to produce investigative and explanatory journalism about the emerging technologies that are shaping our world, and in particular, focusing on the ways in which they are deepening and exacerbating existing inequalities",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
35,"$2,245,323",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",Academics,Not Specified,Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
36,"$2,225,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth,Program support,Cash grants,Northlight Foundation Inc,"New York City, NY United States",REGENTS OF THE UNIVERSITY OF MICHIGAN,"Ann Arbor, MI United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
37,"$2,070,860",2021,,1 year,,"Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,"Policy, advocacy and systems reform; Public engagement and education; Program support",Cash grants,The Conversation US,"Waltham, MA United States",Chronicle of Higher Education,"Washington, D.C., DC United States","PHILANTHROPY JOURNALISM COLLABORATION TO EDUCATE THE PUBLIC THROUGH KNOWLEDGE BASED JOURNALISM THAT IS RESPONSBILE, ETHICAL AND SUPPORTED BY EVIDENCE.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
38,"$2,025,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Researchers,General support; Network-building and collaboration,Cash grants,The Schmidt Family Foundation,"Palo Alto, CA United States","Climate Central, Inc.","Princeton, NJ United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
39,"$2,018,457",2021,Creativity and Free Expression,4 years,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",The Center for Investigative Reporting,"Emeryville, CA United States","General support for the nation's oldest nonprofit investigative journalism association, reaching audiences through its radio program and multimedia effort Reveal, and core support for institutional strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
40,"$2,000,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Adults; Academics; Activists; Ethnic and racial groups; Victims and oppressed people; Economically disadvantaged people; Artists and performers,Not Specified,Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",NONPROFIT INFORMATION NETWORKING ASSOCIATION,"Boston, MA United States",CULTURE & ARTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
41,"$2,000,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,Quadrivium,"New York City, NY United States",American Journalism Project Inc,"Washington, DC United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
42,"$2,000,000",2021,Media & Communications,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,Recordings and broadcasts; Public engagement and education,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",American Journalism Project Inc,"Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
43,"$1,950,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Public engagement and education,Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",American Journalism Project Inc,"Washington, DC United States",TO SUPPORT CIVIC NEWS ORGANIZATIONS' BUSINESS DEVELOPMENT.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
44,"$1,950,000",2021,Printing & Publishing,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",MARSHALL PROJECT INC,"New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
45,"$1,900,000",2021,Education Single Organization Support,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Students,"Policy, advocacy and systems reform",Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Results in Education Foundation,"Rochester, MI United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
46,"$1,833,578",2021,,1 year,,"Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",Children and youth; Adults; Families,Program support,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
47,"$1,807,085",2021,U.S. Program,1 year,President and Fellows of Harvard College,"Journalism, news and information; Journalism, news, and information, general",Teachers,Fellowships; Leadership and professional development; Research,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",President and Fellows of Harvard College,"Cambridge, MA United States",to recruit and place a cohort of P20W data fellows in participating state agencies and to train and support the fellows in executing a common set of analyses that leverage state data to learn more about student pathways to success.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
48,"$1,800,360",2021,Global Policy and Advocacy,1 year,Centre for Journalism Innovation and Development,"Journalism, news and information; Journalism, news, and information, general",Not Specified,"Policy, advocacy and systems reform; Program support",Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Centre for Journalism Innovation and Development,"Abuja, Nicaragua","to support sustained evidence-based, and solutions-oriented media coverage of global health and development issues in Primary Health Care systems, Agriculture & Gender Equality",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
49,"$1,782,793",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Advocacy; Equal access; Public engagement and education; Ethics and accountability,Cash grants,Bhp Foundation,"Washington, DC United States",Open Contracting Partnershipd,"New York City, NY United States","The Project will support the adoption of Open Contracting to promote accessible, user-friendly open data along the entire",https://apps.irs.gov/pub/epostcard/cor/611714573_202106_990PF_2022042119923776.pdf
50,"$1,729,408",2021,,1 year,,"Journalism, news and information; Journalism education",Academics,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",The Poynter Institute for Media Studies Inc,"St Petersburg, FL United States",OSS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
51,"$1,650,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Swanee Hunt Family Foundation,"Washington, DC United States",Hunt Alternatives,"Washington, DC United States","INCLUSIVE SECURITY, DEMAND ABOLITION, POLITICAL PARITY, PRIME MOVERS PROGRAMS",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
52,"$1,575,000",2021,,1 year,,"Media access and policy; Media justice; Journalism, news and information; Citizen journalism",Victims of crime and abuse,General support,Cash grants,THE SKOLL FUND,"Palo Alto, CA United States","Witness, Inc.","New York City, NY United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
53,"$1,574,001",2021,Global Policy and Advocacy,1 year,Global Change Data Lab,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Public engagement and education,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Global Change Data Lab,"Oxford, United Kingdom",to strengthen provision of capacity and tools for media organizations to be more effective in the implementation of data storytelling,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
54,"$1,550,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Not Specified,Fellowships,Cash grants,Abrams Foundation Inc,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States","FELLOWSHIP GRANT, SUPPORT OF PROPUBLICA LOCAL REPORTING NETWORK",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
55,"$1,500,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Crankstart Foundation,"SAN FRANCISCO, CA United States","PRO Publica, Inc.","New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
56,"$1,500,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Diana Davis Spencer Foundation Inc,"Bethesda, MD United States",Informing America Foundation,"WASHINGTON, DC United States",GENERAL OPERATION SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
57,"$1,500,000",2021,Science / Projects,5 years,All-Sky Automated Survey for Supernovae,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Data and measurement systems,Cash grants,GORDON E AND BETTY I MOORE FOUNDATION,"Palo Alto, CA United States",Ohio State University Affiliates Inc,"Columbus, OH United States",To support improved data and data products for the astronomical community from the all-sky automated survey for supernovae.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
58,"$1,500,000",2021,,1 year and 4 months,Supporting Health Affairs in exploring the roots of inequity in publishing to guide the journal and other publications to a more equitable future,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Low-income people,Outreach; Publications; Equal access,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Project Hope,"Hagerstown, MD United States",To (1) engage in discussions with the health services publishing sector to increase the amount and quality of health equity scholarship and to expand the equity-related content published.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
59,"$1,500,000",2021,International Human Rights,1 year,,"Media access and policy; Media justice; Journalism, news and information; Citizen journalism",Victims of crime and abuse,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","Witness, Inc.","Brooklyn, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
60,"$1,500,000",2021,Strategic Initiatives,3 years,Crime and Punishment in America,"Media Content and Platforms; Television; Journalism, news and information; Investigative journalism",Not Specified,Recordings and broadcasts; Public engagement and education,Cash grants,The Andrew W. Mellon Foundation,"New York City, NY United States",Greater Washington Educational Telecommunications Association Inc,"Arlington, VA United States",To support development of the Crime and Punishment in America documentary series,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
61,"$1,500,000",2021,Humanities in Place,2 years,AFRO Archives,"Journalism, news and information; Journalism, news, and information, general",People of African descent,Building and renovations; Collections management and preservation; General support,Cash grants,The Andrew W. Mellon Foundation,"New York City, NY United States","Afro Charities, Inc.","Baltimore, MD United States",To support construction and operating costs for the AFRO Archives,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
62,"$1,500,000",2021,Health Equity,1 year,A Data-Driven Approach to Ending Racial Inequity Through Health Policy Evaluation and Innovation,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Data and measurement systems; Network-building and collaboration; Equal access,Cash grants,The Commonwealth Fund,"New York City, NY United States",Trustees of Boston University,"Boston, MA United States","Ibram Kendi proposes to create two tools: a Racial Data Tracker and a Racial Policy Tracker. Kendi's team will collect data on policies, evaluate the effects of these policies, and ensure that this information is disseminated to state and federal policymakers with the power to promulgate antiracist policy. The new Racial Data Tracker will expand the team's existing COVID-19 Racial Data Tracker to include broader data on health inequities. The new database will track, visualize, and analyze racial inequities in real time, updating weekly and, at times, daily. By presenting multidisciplinary, multisector data on every policy and structural process contributing to systemic racism, it will also aid in training a new cadre of racial data scientists. The Racial Policy Tracker will support antiracist policymaking by documenting current health policies, especially key state and federal policies, and evaluating them. Kendi and team will create a centralized, longitudinal policy database for all U.S. States and territories as well as a sample of 100 communities with populations over 75,000. Through direct appeals to public health officials and examination of legislative records, meeting minutes, and spending data, they will gather information on health policy implementation to be able to: 1) measure the racially disparate impact of policy choices across key health metrics; 2) proactively support effective antiracist policymaking; and 3) assess challenges that interested policymakers face in implementing antiracist policies.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
